latitude,longitude,faculty_count,department_count,has_grad,has_remote,review_rating,review_count,difficulty_SD,found_year,difficulty_rank_encoded,type_National,type_Private,type_Public,state_Aichi Ken,state_Akita Ken,state_Aomori Ken,state_Chiba Ken,state_Ehime Ken,state_Fukui Ken,state_Fukuoka Ken,state_Fukushima Ken,state_Gifu Ken,state_Gunma Ken,state_Hiroshima Ken,state_Hokkai Do,state_Hyogo Ken,state_Ibaraki Ken,state_Ishikawa Ken,state_Iwate Ken,state_Kagawa Ken,state_Kagoshima Ken,state_Kanagawa Ken,state_Kochi Ken,state_Kumamoto Ken,state_Kyoto Fu,state_Mie Ken,state_Miyagi Ken,state_Miyazaki Ken,state_Nagano Ken,state_Nagasaki Ken,state_Nara Ken,state_Niigata Ken,state_Oita Ken,state_Okayama Ken,state_Okinawa Ken,state_Osaka Fu,state_Saga Ken,state_Saitama Ken,state_Shiga Ken,state_Shimane Ken,state_Shizuoka Ken,state_Tochigi Ken,state_Tokushima Ken,state_Tokyo To,state_Tottori Ken,state_Toyama Ken,state_Wakayama Ken,state_Yamagata Ken,state_Yamaguchi Ken,state_Yamanashi Ken
0.3184252305149264,1.0119844871395052,0.7986980457013221,1.5631832601436388,1,0,-0.011789394741953068,0.7664153566825692,0.7619452376444963,-1.4072630315413952,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1918587155327023,0.9078271873187594,2.232123015138794,5.001326058259836,1,0,1.3001954163131169,2.1760088735426644,2.3440150880091886,0.07224305034434966,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.19040792163998257,0.9108234464960298,-0.475457482687542,-0.33372311123081466,1,0,1.11797530366658,-0.5275570514647433,-0.9959101516496067,0.46305597763492373,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.38292779525020165,0.8512794168310456,0.48015916360410604,0.3183384539291537,1,0,0.49842692066835254,0.18830981311865588,1.05942845737119,-1.3514326133570274,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0.33100598900724687,0.5865147706599817,0.7986980457013221,0.43689510214005706,1,0,0.24331876296319893,0.4785925966954294,1.2757798898996953,-1.5468390770023144,3,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0853558190430155,0.7579271597576639,0.639428604652714,1.8002965565654456,1,0,0.24331876296319893,1.3469809238361163,1.343389712564853,-1.3793478224492113,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
-0.0170183940812229,0.9087468884947978,1.75431469199297,1.5039049360381873,1,0,0.935755191020043,2.094828095084753,2.033009903749463,-1.3793478224492113,2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.02113103828600613,0.8051049988332839,3.028470220381834,7.0760674019506435,1,0,1.9197437993113442,4.845134468295202,3.709733505845376,-2.6076170225053015,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.015801220460018053,0.8057321370069441,-0.31618804163893405,-0.0373314907035563,1,0,1.5188595514889638,-0.1929938432745636,2.371059017075252,-1.1839413588039243,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.0032009911280994462,0.731379122235394,-0.31618804163893405,-0.3930014353362663,1,0,1.3730834613717335,0.41217195977532023,2.7902399175992305,-1.9934824224772563,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.017694218754279584,0.7224646270892213,-0.31618804163893405,-0.15588813891445966,1,0,0.9721992135493498,0.8549762059093815,1.5462191805603265,-0.7652132224211663,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.008063508803732255,0.7184789508904058,0.002350840458282005,1.8002965565654456,1,0,0.6806470333148894,0.33837125208631,1.857224364820052,-1.5747542860944983,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.02334768520291819,0.8078458362009865,0.16162028150689,1.5039049360381873,1,0,1.5917475965475771,-0.14871341866115748,1.5056532869612322,-2.3284649315834627,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.02527489544146697,0.7812557865098038,0.95796748674993,-0.0373314907035563,1,0,1.5917475965475771,0.4835126438746968,2.9660254565286404,-2.495956186136566,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.01690156904363408,0.8000230485745884,0.002350840458282005,0.43689510214005706,1,0,1.26375139378381,-0.12165315917518704,1.3569116770978848,-2.663447440689669,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.023547153137468257,0.7960513764320772,-0.31618804163893405,0.43689510214005706,1,0,1.7739677091941142,0.39249177105825084,2.371059017075252,-2.691362649781853,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.0034078445168239098,0.7384679146498059,-0.63472692373615,-0.21516646301991132,1,0,0.38909485308042907,-0.1659335837885932,1.8842682938861155,-0.7931284315133501,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.012582474331790019,0.7078179063741868,0.639428604652714,0.14050348161279871,1,0,1.628191619076884,0.4810526202850631,3.3581624279865565,-1.4072630315413952,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.08152268955779758,0.7528217679264565,1.1172369277985381,1.7410182324599939,1,0,0.316206808021814,1.0985185412831153,2.3981029461413144,-1.4072630315413952,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.9527419160887381,0.5555767659220899,1.75431469199297,2.096688177092704,1,0,0.17043071790458383,1.6003633535683848,0.8971648829748119,-1.435178240633579,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.7612946693977098,0.5054118007494102,-0.63472692373615,-0.09660981480900797,1,0,0.49842692066835254,-0.42177603711049527,-0.008806740738303138,0.15598867762090124,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.6358899145115089,0.3372556591786538,-0.63472692373615,-0.5708364076526213,1,0,1.0086432360786566,-0.4020958483934259,1.0729504219042219,0.21181909580526898,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
